record_id,year,exam,round,category,home_region,university_quota,stream,branch,college_code,college_name,college_type,city,district,state,naac_grade,naac_score,nirf_rank,fees_per_year,total_seats,category_seats,student_percentile,student_rank,aptitude_score,aptitude_stream_suitability,closing_percentile,closing_rank,previous_year_closing_percentile,previous_year_closing_rank,cutoff_trend_3yr,admission_probability
223,2024,MHT CET,CAP Round 1,ST,Pune University,Home University,Engineering,Mechanical Engineering,06288,"Genba Sopanrao Moze College of Engineering, Pune",Private,Pune,Pune,Maharashtra,B,2.47,700,95000,360,4,62.65,93545,82,Mechanical,59.0,102710,58.2,104832,Increasing: 57.10->58.20->59.00,High
224,2024,MHT CET,CAP Round 1,OPEN,Pune University,Home University,Engineering,Chemical Engineering,06175,"Pimpri Chinchwad College of Engineering, Pune",Private,Pune,Pune,Maharashtra,A++,3.6,220,145000,960,41,89.16,27462,72,Science,95.4,11859,94.6,14061,Increasing: 93.50->94.60->95.40,Low
225,2022,JEE,CAP Round 1,ST,Mumbai University,Home University,Engineering,Artificial Intelligence and Data Science,03104,"K. J. Somaiya College of Engineering, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A,3.27,210,220000,720,4,92.47,91189,85,Technology,91.0,108569,90.2,119239,Increasing: 91.00->92.10->92.90,Medium
226,2022,JEE,CAP Round 2,OBC,Pune University,All India,Engineering,Electronics and Telecommunication Engineering,06276,"Army Institute of Technology, Pune",Private,Pune,Pune,Maharashtra,A,3.28,180,185000,480,20,97.74,28821,100,Technology,95.4,56119,94.6,64881,Increasing: 95.40->96.50->97.30,Medium
227,2022,JEE,CAP Round 1,VJNT,Pune University,All India,Engineering,Civil Engineering,06274,"MIT World Peace University School of Engineering, Pune",Private,Pune,Pune,Maharashtra,A+,3.44,199,285000,840,5,85.13,179362,78,Civil,90.2,118330,89.4,128185,Increasing: 90.20->91.30->92.10,Low
228,2022,MHT CET,CAP Round 2,ST,Pune University,All India,Engineering,Mechanical Engineering,06288,"Genba Sopanrao Moze College of Engineering, Pune",Private,Pune,Pune,Maharashtra,B,2.48,700,95000,360,6,52.85,118256,53,Mechanical,56.9,107944,56.1,110264,Increasing: 56.90->58.00->58.80,Low
229,2023,MHT CET,CAP Round 1,OBC,Pune University,Other University,Engineering,Chemical Engineering,06292,"Zeal College of Engineering and Research, Pune",Private,Pune,Pune,Maharashtra,B++,2.83,570,105000,540,13,66.9,83258,63,Science,74.3,64696,73.2,67108,Increasing: 73.20->74.30->75.10,Low
230,2022,JEE,CAP Round 1,VJNT,Mumbai University,Home University,Engineering,Artificial Intelligence and Data Science,03119,"MGM College of Engineering and Technology, Mumbai Region",Private,Mumbai,Mumbai,Maharashtra,B+,2.73,525,120000,480,4,79.21,250166,71,Technology,79.5,246690,78.7,256759,Increasing: 79.50->80.60->81.40,Medium
231,2024,JEE,CAP Round 3,SC,Pune University,Other University,Engineering,Chemical Engineering,06325,"Alard College of Engineering and Management, Pune",Private,Pune,Pune,Maharashtra,B+,2.63,620,105000,420,9,68.02,385476,75,Science,65.4,416063,64.6,424966,Increasing: 63.50->64.60->65.40,High
232,2024,MHT CET,CAP Round 2,VJNT,Pune University,Other University,Engineering,Electrical Engineering,06732,"Ajeenkya DY Patil School of Engineering, Lohegaon, Pune",Private,Pune,Pune,Maharashtra,B++,2.86,540,120000,600,5,71.76,70770,70,Technology,73.9,65354,73.1,67763,Increasing: 72.00->73.10->73.90,Medium
233,2022,JEE,CAP Round 1,EWS,Pune University,Other University,Engineering,Cyber Security,06282,"JSPM Rajarshi Shahu College of Engineering, Tathawade, Pune",Private,Pune,Pune,Maharashtra,A,3.01,420,110000,780,11,82.27,213364,84,Technology,89.2,131140,88.4,139985,Increasing: 89.20->90.30->91.10,Low
234,2023,JEE,CAP Round 3,SC,Mumbai University,All India,Engineering,Chemical Engineering,03122,"Datta Meghe College of Engineering, Mumbai Region",Private,Mumbai,Mumbai,Maharashtra,A,3.06,400,131000,600,14,75.16,299498,73,Science,78.7,255832,77.6,269893,Increasing: 77.60->78.70->79.50,Low
235,2024,JEE,CAP Round 3,VJNT,Mumbai University,Other University,Engineering,Chemical Engineering,03124,"Saraswati College of Engineering, Mumbai Region",Private,Mumbai,Mumbai,Maharashtra,B+,2.64,580,122000,420,4,68.87,373930,62,Science,71.4,343849,70.6,354199,Increasing: 69.50->70.60->71.40,Medium
236,2022,JEE,CAP Round 3,OPEN,Pune University,All India,Engineering,Electronics and Telecommunication Engineering,06291,"RMD Sinhgad School of Engineering, Pune",Private,Pune,Pune,Maharashtra,B++,2.77,590,112000,480,23,82.69,207793,73,Technology,76.2,285932,75.4,295439,Increasing: 76.20->77.30->78.10,High
237,2024,MHT CET,CAP Round 1,EWS,Mumbai University,All India,Engineering,Electrical Engineering,03104,"K. J. Somaiya College of Engineering, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A,3.3,210,230000,720,13,99.95,332,53,Technology,98.2,5040,97.4,6699,Increasing: 96.30->97.40->98.20,Medium
238,2022,MHT CET,CAP Round 3,ST,Mumbai University,Home University,Engineering,Chemical Engineering,03112,"Xavier Institute of Engineering, Mahim, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A,3.0,460,140000,420,5,62.72,93559,59,Science,69.8,75609,69.0,77755,Increasing: 69.80->70.90->71.70,Low
239,2023,MHT CET,CAP Round 3,OBC,Mumbai University,Other University,Engineering,Chemical Engineering,03182,"Thadomal Shahani Engineering College, Bandra, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A,3.25,225,185000,660,20,94.0,15320,65,Science,90.4,24512,89.3,27112,Increasing: 89.30->90.40->91.20,High
240,2022,MHT CET,CAP Round 3,OPEN,Pune University,Other University,Engineering,Mechanical Engineering,06175,"Pimpri Chinchwad College of Engineering, Pune",Private,Pune,Pune,Maharashtra,A++,3.59,220,150000,960,51,94.48,14101,67,Mechanical,91.1,22773,90.3,24601,Increasing: 91.10->92.20->93.00,High
241,2024,JEE,CAP Round 2,SC,Pune University,All India,Engineering,Civil Engineering,06206,"Pune District Education Association's College of Engineering, Pune",Private,Pune,Pune,Maharashtra,B++,2.84,560,90000,420,9,66.99,397181,73,Civil,69.1,372142,68.3,381606,Increasing: 67.20->68.30->69.10,Medium
242,2023,MHT CET,CAP Round 1,VJNT,Pune University,Other University,Engineering,Information Technology,06280,"Sinhgad College of Engineering, Vadgaon, Pune",Private,Pune,Pune,Maharashtra,A,3.11,350,135000,900,4,95.89,10504,92,Technology,89.4,26917,88.3,29695,Increasing: 88.30->89.40->90.20,High
243,2024,MHT CET,CAP Round 2,ST,Mumbai University,Home University,Engineering,Electrical Engineering,03185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A+,3.35,285,155000,720,8,78.16,55001,86,Technology,83.2,42561,82.4,44063,Increasing: 81.30->82.40->83.20,Low
244,2024,JEE,CAP Round 1,EWS,Pune University,Other University,Engineering,Electrical Engineering,06283,"Indira College of Engineering and Management, Pune",Private,Pune,Pune,Maharashtra,B++,2.9,520,100000,540,7,81.27,226533,77,Technology,81.6,221570,80.8,231600,Increasing: 79.70->80.80->81.60,Medium
245,2024,MHT CET,CAP Round 1,ST,Pune University,Home University,Engineering,Cyber Security,06175,"Pimpri Chinchwad College of Engineering, Pune",Private,Pune,Pune,Maharashtra,A++,3.63,220,140000,960,6,83.15,42568,92,Technology,89.7,26251,88.9,27891,Increasing: 87.80->88.90->89.70,Low
246,2023,JEE,CAP Round 3,VJNT,Mumbai University,Home University,Engineering,Cyber Security,03139,"Vidyalankar Institute of Technology, Wadala, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A+,3.33,340,155000,720,4,93.18,83455,80,Technology,87.5,150551,86.4,164781,Increasing: 86.40->87.50->88.30,High
247,2022,JEE,CAP Round 2,OPEN,Pune University,Home University,Engineering,Civil Engineering,06275,"Maharashtra Institute of Technology, Pune",Private,Pune,Pune,Maharashtra,A,3.22,230,175000,720,35,95.19,58132,80,Civil,90.4,116408,89.6,126265,Increasing: 90.40->91.50->92.30,High
248,2022,JEE,CAP Round 1,VJNT,Mumbai University,All India,Engineering,Mechanical Engineering,03114,"Don Bosco Institute of Technology, Kurla, Mumbai",Private,Mumbai,Mumbai,Maharashtra,B++,2.87,500,133000,480,7,78.35,260484,80,Mechanical,77.9,266491,77.1,275012,Increasing: 77.90->79.00->79.80,Medium
249,2023,JEE,CAP Round 1,OBC,Pune University,Other University,Engineering,Artificial Intelligence and Data Science,06290,"NBN Sinhgad School of Engineering, Pune",Private,Pune,Pune,Maharashtra,B+,2.65,630,96000,420,18,78.25,262655,71,Technology,76.3,285300,75.2,299153,Increasing: 75.20->76.30->77.10,Medium
250,2022,MHT CET,CAP Round 1,OPEN,Mumbai University,Other University,Engineering,Information Technology,03122,"Datta Meghe College of Engineering, Mumbai Region",Private,Mumbai,Mumbai,Maharashtra,A,3.04,400,141000,600,34,83.87,40901,77,Technology,91.3,22192,90.5,23854,Increasing: 91.30->92.40->93.20,Low
251,2023,JEE,CAP Round 3,VJNT,Pune University,All India,Engineering,Computer Engineering,06155,"G.H. Raisoni College of Engineering and Management, Wagholi, Pune",Private,Pune,Pune,Maharashtra,A,3.02,510,122000,660,5,75.99,289446,60,Technology,80.0,240301,78.9,254787,Increasing: 78.90->80.00->80.80,Low
252,2023,JEE,CAP Round 3,VJNT,Mumbai University,Other University,Engineering,Chemical Engineering,03185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A+,3.39,285,155000,720,4,84.29,190138,61,Science,87.1,156351,86.0,169157,Increasing: 86.00->87.10->87.90,Medium
253,2022,JEE,CAP Round 1,EWS,Pune University,Home University,Engineering,Civil Engineering,06272,"Pune Institute of Computer Technology, Pune",Private,Pune,Pune,Maharashtra,A+,3.54,101,125000,660,4,99.95,793,70,Civil,94.6,65236,93.8,75420,Increasing: 94.60->95.70->96.50,High
254,2024,MHT CET,CAP Round 2,EWS,Mumbai University,All India,Engineering,Information Technology,03118,"SIES Graduate School of Technology, Mumbai Region",Private,Mumbai,Mumbai,Maharashtra,A,3.07,375,147000,600,14,86.73,33276,90,Technology,91.0,22700,90.2,24642,Increasing: 89.10->90.20->91.00,Low
255,2023,MHT CET,CAP Round 2,EWS,Mumbai University,All India,Engineering,Mechanical Engineering,03125,"M.H. Saboo Siddik College of Engineering, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A,3.0,475,127000,420,9,82.97,43078,69,Mechanical,80.7,48494,79.6,51596,Increasing: 79.60->80.70->81.50,Medium
256,2022,MHT CET,CAP Round 1,VJNT,Pune University,Other University,Engineering,Information Technology,06291,"RMD Sinhgad School of Engineering, Pune",Private,Pune,Pune,Maharashtra,B++,2.79,590,102000,480,9,74.02,65331,65,Technology,74.8,63552,74.0,65356,Increasing: 74.80->75.90->76.70,Medium
257,2023,JEE,CAP Round 1,OBC,Pune University,Home University,Engineering,Computer Engineering,06175,"Pimpri Chinchwad College of Engineering, Pune",Private,Pune,Pune,Maharashtra,A++,3.58,220,145000,960,24,96.19,46031,89,Technology,97.9,25687,96.8,39775,Increasing: 96.80->97.90->98.70,Medium
258,2023,JEE,CAP Round 1,OPEN,Pune University,Other University,Engineering,Artificial Intelligence and Data Science,06271,"COEP Technological University, Pune",Govt,Pune,Pune,Maharashtra,A++,3.76,73,45000,720,35,99.58,6320,86,Technology,99.95,1769,99.95,948,Stable: 99.95->99.95->99.95,Medium
259,2022,JEE,CAP Round 2,VJNT,Mumbai University,All India,Engineering,Cyber Security,03122,"Datta Meghe College of Engineering, Mumbai Region",Private,Mumbai,Mumbai,Maharashtra,A,3.04,400,146000,600,4,78.6,257705,79,Technology,85.6,173481,84.8,182720,Increasing: 85.60->86.70->87.50,Low
260,2023,MHT CET,CAP Round 2,VJNT,Mumbai University,All India,Engineering,Information Technology,03117,"Watumull Institute of Electronics Engineering and Computer Technology, Worli, Mumbai",Private,Mumbai,Mumbai,Maharashtra,B+,2.71,545,128000,360,7,70.13,74741,68,Technology,78.0,55195,76.9,58319,Increasing: 76.90->78.00->78.80,Low
261,2024,JEE,CAP Round 1,OBC,Mumbai University,Other University,Engineering,Electrical Engineering,03111,"Rizvi College of Engineering, Bandra, Mumbai",Private,Mumbai,Mumbai,Maharashtra,B++,2.84,505,130000,480,19,74.63,305114,91,Technology,82.4,212231,81.6,221486,Increasing: 80.50->81.60->82.40,Low
262,2024,JEE,CAP Round 1,SC,Pune University,All India,Engineering,Information Technology,06289,"TSSM's Bhivarabai Sawant College of Engineering and Research, Pune",Private,Pune,Pune,Maharashtra,B+,2.66,610,98000,480,11,74.6,305600,96,Technology,74.3,309029,73.5,318979,Increasing: 72.40->73.50->74.30,Medium
263,2023,MHT CET,CAP Round 2,SC,Pune University,Home University,Engineering,Electronics and Telecommunication Engineering,06279,"Dr. D. Y. Patil Institute of Technology, Pimpri, Pune",Private,Pune,Pune,Maharashtra,A,3.18,260,140000,780,4,78.55,53706,90,Technology,85.2,37114,84.1,39945,Increasing: 84.10->85.20->86.00,Low
264,2022,MHT CET,CAP Round 1,VJNT,Mumbai University,Other University,Engineering,Information Technology,03101,"Veermata Jijabai Technological Institute (VJTI), Mumbai",Govt,Mumbai,Mumbai,Maharashtra,A++,3.73,84,85000,720,10,97.36,7103,79,Technology,99.1,2574,98.3,4304,Stable: 99.10->99.95->99.95,Medium
265,2024,JEE,CAP Round 1,SC,Pune University,All India,Engineering,Electronics and Telecommunication Engineering,06175,"Pimpri Chinchwad College of Engineering, Pune",Private,Pune,Pune,Maharashtra,A++,3.61,220,150000,960,13,91.44,103601,69,Technology,93.3,80704,92.5,91772,Increasing: 91.40->92.50->93.30,Medium
266,2023,JEE,CAP Round 1,EWS,Mumbai University,Home University,Engineering,Electronics and Telecommunication Engineering,03102,"Sardar Patel Institute of Technology, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A+,3.61,125,185000,600,10,92.82,87401,87,Technology,99.95,1615,99.1,11606,Stable: 99.10->99.95->99.95,Low
267,2023,MHT CET,CAP Round 1,OPEN,Pune University,All India,Engineering,Chemical Engineering,06139,"Progressive Education Society's Modern College of Engineering, Pune",Private,Pune,Pune,Maharashtra,A,3.03,390,123000,660,35,82.35,44301,61,Science,88.4,29263,87.3,32124,Increasing: 87.30->88.40->89.20,Low
268,2022,MHT CET,CAP Round 1,SC,Pune University,All India,Engineering,Civil Engineering,06280,"Sinhgad College of Engineering, Vadgaon, Pune",Private,Pune,Pune,Maharashtra,A,3.09,350,130000,900,6,74.87,62907,85,Civil,80.2,49594,79.4,51711,Increasing: 80.20->81.30->82.10,Low
269,2023,MHT CET,CAP Round 3,OPEN,Mumbai University,Home University,Engineering,Electronics and Telecommunication Engineering,03185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A+,3.38,285,160000,720,32,97.56,6243,88,Technology,92.5,18845,91.4,21919,Increasing: 91.40->92.50->93.30,High
270,2023,MHT CET,CAP Round 1,VJNT,Mumbai University,Home University,Engineering,Chemical Engineering,03120,"Terna Engineering College, Mumbai Region",Private,Mumbai,Mumbai,Maharashtra,B+,2.69,550,115000,480,4,72.78,68088,64,Science,73.1,67659,72.0,70572,Increasing: 72.00->73.10->73.90,Medium
271,2023,JEE,CAP Round 2,OPEN,Pune University,All India,Engineering,Robotics and Automation,06275,"Maharashtra Institute of Technology, Pune",Private,Pune,Pune,Maharashtra,A,3.26,230,175000,720,39,91.77,98868,70,Technology,97.7,28818,96.6,42539,Increasing: 96.60->97.70->98.50,Low
272,2022,MHT CET,CAP Round 2,EWS,Pune University,All India,Engineering,Artificial Intelligence and Data Science,06277,"Bharati Vidyapeeth College of Engineering, Pune",Private,Pune,Pune,Maharashtra,A+,3.42,250,135000,720,13,97.14,7612,83,Technology,94.5,13773,93.7,16255,Increasing: 94.50->95.60->96.40,High
273,2024,MHT CET,CAP Round 3,VJNT,Pune University,All India,Engineering,Electrical Engineering,06146,"MIT Academy of Engineering, Alandi, Pune",Private,Pune,Pune,Maharashtra,A,3.23,310,175000,840,7,86.34,34253,85,Technology,86.3,34625,85.5,36569,Increasing: 84.40->85.50->86.30,Medium
274,2023,JEE,CAP Round 3,OPEN,Mumbai University,All India,Engineering,Computer Engineering,03104,"K. J. Somaiya College of Engineering, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A,3.28,210,230000,720,34,95.78,51969,72,Technology,99.95,1723,99.9,2547,Stable: 99.90->99.95->99.95,Low
275,2022,MHT CET,CAP Round 2,EWS,Pune University,Other University,Engineering,Civil Engineering,06325,"Alard College of Engineering and Management, Pune",Private,Pune,Pune,Maharashtra,B+,2.66,620,90000,420,4,59.82,100830,82,Civil,67.8,80787,67.0,82579,Increasing: 67.80->68.90->69.70,Low
276,2024,MHT CET,CAP Round 3,VJNT,Pune University,All India,Engineering,Artificial Intelligence and Data Science,06280,"Sinhgad College of Engineering, Vadgaon, Pune",Private,Pune,Pune,Maharashtra,A,3.1,350,130000,900,10,84.22,39544,69,Technology,88.0,30071,87.2,32460,Increasing: 86.10->87.20->88.00,Low
277,2024,MHT CET,CAP Round 2,ST,Pune University,All India,Engineering,Chemical Engineering,06272,"Pune Institute of Computer Technology, Pune",Private,Pune,Pune,Maharashtra,A+,3.56,101,135000,660,7,88.55,29080,66,Science,88.7,28733,87.9,30413,Increasing: 86.80->87.90->88.70,Medium
278,2022,JEE,CAP Round 2,VJNT,Pune University,Home University,Engineering,Information Technology,06274,"MIT World Peace University School of Engineering, Pune",Private,Pune,Pune,Maharashtra,A+,3.45,199,270000,840,4,98.77,15163,69,Technology,92.6,90521,91.8,99147,Increasing: 92.60->93.70->94.50,High
279,2023,MHT CET,CAP Round 3,OPEN,Pune University,All India,Engineering,Electrical Engineering,06288,"Genba Sopanrao Moze College of Engineering, Pune",Private,Pune,Pune,Maharashtra,B,2.48,700,85000,360,16,72.03,70441,79,Technology,68.5,79006,67.4,81799,Increasing: 67.40->68.50->69.30,High
280,2024,JEE,CAP Round 3,OPEN,Mumbai University,Other University,Engineering,Artificial Intelligence and Data Science,03123,"Lokmanya Tilak College of Engineering, Mumbai Region",Private,Mumbai,Mumbai,Maharashtra,A,3.01,435,123000,600,29,83.72,195416,87,Technology,89.9,122548,89.1,131813,Increasing: 88.00->89.10->89.90,Low
281,2022,JEE,CAP Round 3,SC,Pune University,All India,Engineering,Civil Engineering,06291,"RMD Sinhgad School of Engineering, Pune",Private,Pune,Pune,Maharashtra,B++,2.81,590,97000,480,4,58.22,502493,62,Civil,64.5,426184,63.7,436677,Increasing: 64.50->65.60->66.40,Low
282,2022,MHT CET,CAP Round 2,EWS,Mumbai University,Home University,Engineering,Artificial Intelligence and Data Science,03148,"Shah & Anchor Kutchhi Engineering College, Chembur, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A,3.08,385,150000,600,4,85.57,36400,60,Technology,87.2,32030,86.4,34346,Increasing: 87.20->88.30->89.10,Medium
283,2022,JEE,CAP Round 3,ST,Pune University,Home University,Engineering,Civil Engineering,06292,"Zeal College of Engineering and Research, Pune",Private,Pune,Pune,Maharashtra,B++,2.81,570,110000,540,4,57.32,512732,72,Civil,61.2,467035,60.4,476503,Increasing: 61.20->62.30->63.10,Low
284,2023,MHT CET,CAP Round 1,ST,Pune University,Home University,Engineering,Chemical Engineering,06292,"Zeal College of Engineering and Research, Pune",Private,Pune,Pune,Maharashtra,B++,2.78,570,95000,540,10,62.1,95337,52,Science,66.1,84860,65.0,87755,Increasing: 65.00->66.10->66.90,Low
285,2023,JEE,CAP Round 1,VJNT,Mumbai University,Other University,Engineering,Computer Engineering,03101,"Veermata Jijabai Technological Institute (VJTI), Mumbai",Govt,Mumbai,Mumbai,Maharashtra,A++,3.71,84,80000,720,4,99.95,1218,80,Technology,99.95,2140,99.95,1766,Stable: 99.95->99.95->99.95,Medium
286,2024,MHT CET,CAP Round 2,OBC,Pune University,Home University,Engineering,Electrical Engineering,06292,"Zeal College of Engineering and Research, Pune",Private,Pune,Pune,Maharashtra,B++,2.77,570,95000,540,15,72.99,67706,65,Technology,73.2,67059,72.4,69180,Increasing: 71.30->72.40->73.20,Medium
287,2023,MHT CET,CAP Round 2,EWS,Mumbai University,All India,Engineering,Information Technology,03120,"Terna Engineering College, Mumbai Region",Private,Mumbai,Mumbai,Maharashtra,B+,2.66,550,110000,480,5,87.09,32760,69,Technology,80.7,48700,79.6,51293,Increasing: 79.60->80.70->81.50,High
288,2022,JEE,CAP Round 1,EWS,Pune University,Other University,Engineering,Chemical Engineering,06175,"Pimpri Chinchwad College of Engineering, Pune",Private,Pune,Pune,Maharashtra,A++,3.6,220,155000,960,11,87.81,146678,53,Science,93.9,73750,93.1,83811,Increasing: 93.90->95.00->95.80,Low
289,2024,MHT CET,CAP Round 3,ST,Mumbai University,Other University,Engineering,Artificial Intelligence and Data Science,03117,"Watumull Institute of Electronics Engineering and Computer Technology, Worli, Mumbai",Private,Mumbai,Mumbai,Maharashtra,B+,2.7,545,128000,360,6,73.41,66610,56,Technology,72.4,69354,71.6,71342,Increasing: 70.50->71.60->72.40,Medium
290,2024,JEE,CAP Round 3,OPEN,Pune University,All India,Engineering,Mechanical Engineering,06206,"Pune District Education Association's College of Engineering, Pune",Private,Pune,Pune,Maharashtra,B++,2.8,560,95000,420,16,75.45,295892,77,Mechanical,76.6,282458,75.8,292185,Increasing: 74.70->75.80->76.60,Medium
291,2022,MHT CET,CAP Round 1,SC,Pune University,All India,Engineering,Cyber Security,06271,"COEP Technological University, Pune",Govt,Pune,Pune,Maharashtra,A++,3.78,73,40000,720,6,99.95,703,83,Technology,96.6,8619,95.8,10640,Increasing: 96.60->97.70->98.50,High
292,2022,MHT CET,CAP Round 2,OPEN,Pune University,Other University,Engineering,Artificial Intelligence and Data Science,06279,"Dr. D. Y. Patil Institute of Technology, Pimpri, Pune",Private,Pune,Pune,Maharashtra,A,3.15,260,140000,780,37,95.88,10804,74,Technology,95.2,12180,94.4,14177,Increasing: 95.20->96.30->97.10,Medium
293,2022,MHT CET,CAP Round 2,OPEN,Pune University,Home University,Engineering,Computer Engineering,06291,"RMD Sinhgad School of Engineering, Pune",Private,Pune,Pune,Maharashtra,B++,2.76,590,107000,480,28,81.27,47217,79,Technology,77.3,56895,76.5,58984,Increasing: 77.30->78.40->79.20,High
294,2024,JEE,CAP Round 2,VJNT,Mumbai University,Home University,Engineering,Electrical Engineering,03182,"Thadomal Shahani Engineering College, Bandra, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A,3.28,225,195000,660,4,90.83,110506,89,Technology,91.5,102655,90.7,113303,Increasing: 89.60->90.70->91.50,Medium
295,2022,MHT CET,CAP Round 2,SC,Pune University,Other University,Engineering,Robotics and Automation,06732,"Ajeenkya DY Patil School of Engineering, Lohegaon, Pune",Private,Pune,Pune,Maharashtra,B++,2.82,540,130000,600,11,76.12,60088,70,Technology,71.0,72786,70.2,75020,Increasing: 71.00->72.10->72.90,High
296,2022,JEE,CAP Round 3,EWS,Mumbai University,Other University,Engineering,Electronics and Telecommunication Engineering,03125,"M.H. Saboo Siddik College of Engineering, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A,2.99,475,127000,420,4,74.98,301855,82,Technology,81.8,218906,81.0,229052,Increasing: 81.80->82.90->83.70,Low
297,2022,JEE,CAP Round 2,OBC,Pune University,All India,Engineering,Chemical Engineering,06282,"JSPM Rajarshi Shahu College of Engineering, Tathawade, Pune",Private,Pune,Pune,Maharashtra,A,3.02,420,120000,780,19,77.87,265671,62,Science,82.3,214156,81.5,222577,Increasing: 82.30->83.40->84.20,Low
298,2024,MHT CET,CAP Round 1,EWS,Mumbai University,All India,Engineering,Electrical Engineering,03103,"Dwarkadas J. Sanghvi College of Engineering, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A+,3.49,160,210000,720,11,97.41,6856,78,Technology,99.9,808,99.1,2727,Increasing: 98.00->99.10->99.90,Medium
299,2023,JEE,CAP Round 3,SC,Pune University,All India,Engineering,Artificial Intelligence and Data Science,06290,"NBN Sinhgad School of Engineering, Pune",Private,Pune,Pune,Maharashtra,B+,2.62,630,91000,420,4,72.05,335945,70,Technology,69.2,371267,68.1,383571,Increasing: 68.10->69.20->70.00,High
300,2022,MHT CET,CAP Round 2,VJNT,Pune University,All India,Engineering,Robotics and Automation,06275,"Maharashtra Institute of Technology, Pune",Private,Pune,Pune,Maharashtra,A,3.22,230,175000,720,4,88.91,28152,52,Technology,90.6,23598,89.8,26041,Increasing: 90.60->91.70->92.50,Medium
301,2023,MHT CET,CAP Round 3,EWS,Mumbai University,All India,Engineering,Electrical Engineering,03121,"Pillai College of Engineering, Mumbai Region",Private,Mumbai,Mumbai,Maharashtra,A,3.04,410,133000,660,7,86.85,33225,77,Technology,84.2,40090,83.1,42509,Increasing: 83.10->84.20->85.00,High
302,2024,JEE,CAP Round 2,OBC,Pune University,All India,Engineering,Chemical Engineering,06325,"Alard College of Engineering and Management, Pune",Private,Pune,Pune,Maharashtra,B+,2.68,620,90000,420,11,66.36,403801,71,Science,71.7,341230,70.9,350803,Increasing: 69.80->70.90->71.70,Low
303,2023,MHT CET,CAP Round 1,OPEN,Pune University,Other University,Engineering,Electronics and Telecommunication Engineering,06175,"Pimpri Chinchwad College of Engineering, Pune",Private,Pune,Pune,Maharashtra,A++,3.61,220,150000,960,42,95.13,12538,79,Technology,98.4,4535,97.3,6895,Increasing: 97.30->98.40->99.20,Low
304,2024,MHT CET,CAP Round 2,SC,Mumbai University,All India,Engineering,Cyber Security,03125,"M.H. Saboo Siddik College of Engineering, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A,3.03,475,117000,420,10,80.56,48973,59,Technology,80.5,49302,79.7,51226,Increasing: 78.60->79.70->80.50,Medium
305,2022,MHT CET,CAP Round 2,SC,Mumbai University,Home University,Engineering,Cyber Security,03120,"Terna Engineering College, Mumbai Region",Private,Mumbai,Mumbai,Maharashtra,B+,2.69,550,110000,480,4,65.78,85622,85,Technology,71.8,70828,71.0,72865,Increasing: 71.80->72.90->73.70,Low
306,2023,MHT CET,CAP Round 1,OPEN,Pune University,Other University,Engineering,Robotics and Automation,06290,"NBN Sinhgad School of Engineering, Pune",Private,Pune,Pune,Maharashtra,B+,2.61,630,106000,420,18,69.6,76214,67,Technology,76.1,59887,75.0,62894,Increasing: 75.00->76.10->76.90,Low
307,2024,JEE,CAP Round 3,SC,Mumbai University,All India,Engineering,Information Technology,03139,"Vidyalankar Institute of Technology, Wadala, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A+,3.34,340,155000,720,14,88.55,138637,100,Technology,87.9,146986,87.1,154861,Increasing: 86.00->87.10->87.90,Medium
308,2022,JEE,CAP Round 1,OPEN,Pune University,Other University,Engineering,Cyber Security,06271,"COEP Technological University, Pune",Govt,Pune,Pune,Maharashtra,A++,3.76,73,40000,720,29,99.95,1963,88,Technology,99.95,2100,99.95,2363,Stable: 99.95->99.95->99.95,Medium
309,2023,JEE,CAP Round 1,ST,Pune University,All India,Engineering,Mechanical Engineering,06288,"Genba Sopanrao Moze College of Engineering, Pune",Private,Pune,Pune,Maharashtra,B,2.48,700,95000,360,4,62.4,451939,63,Mechanical,61.0,468975,59.9,481833,Increasing: 59.90->61.00->61.80,Medium
310,2024,JEE,CAP Round 3,VJNT,Pune University,Home University,Engineering,Cyber Security,06732,"Ajeenkya DY Patil School of Engineering, Lohegaon, Pune",Private,Pune,Pune,Maharashtra,B++,2.82,540,130000,600,9,80.32,236237,96,Technology,75.5,295765,74.7,304349,Increasing: 73.60->74.70->75.50,High
